freq(Hz)	V_ph(m/s)
21.42857142857143	573.4840698869477
21.945638181060925	551.9109999508536
22.462704933550416	532.7913930107444
22.97977168603991	515.7292271523462
23.4968384385294	500.4093598054843
24.013905191018896	486.5778833057942
24.530971943508387	474.0279408314121
25.04803869599788	462.58931038566305
25.565105448487376	452.12063851268834
26.08217220097687	442.50356932186
26.59923895346636	433.63825028511303
27.116305705955853	425.4398523051845
27.633372458445347	417.83584667983564
28.15043921093484	410.76385361585045
28.667505963424336	404.16992706419586
29.184572715913827	398.00717601801387
29.715522572665435	392.4179855499135
30.278550814265103	387.5824608443991
30.841579055864774	383.034886577845
31.404607297464445	378.7502857074116
31.967635539064116	374.70648871844946
32.53066378066378	370.88374993366244
33.093692022263454	367.2644250726443
33.65672026386313	363.83269895012285
34.219748505462796	360.57435444683273
34.782776747062464	357.47657563455954
35.34580498866214	354.527779306297
35.908833230261806	351.7174702424569
36.443148688046655	348.7613347433793
36.856802090038244	344.8089655600581
37.27045549202984	341.02999985378244
37.684108894021435	337.41327091080797
38.09776229601303	333.94855067647296
38.511415698004626	330.62645315713473
38.92506909999622	327.43834951069783
39.33872250198781	324.3762932082846
39.752375903979406	321.4329539004288
40.166029305971	318.60155882908595
40.5796827079626	315.8758407997362
40.993336109954186	313.2499918723254
41.40698951194578	310.7186220508616
41.82064291393738	308.27672235330425
42.23429631592897	305.9196317292881
42.64794971792057	303.6430073659309
43.061603119912164	301.442797983701
43.47525652190376	299.3152197768778
43.88890992389535	297.25673469801376
44.30256332588694	295.26403082422934
44.71621672787854	293.334004576158
45.129870129870135	291.46374458874465
